,Clave,Lon,Lat,Edo,Ciudad,Tmin,Tmed,Tmax,Ene
165,SLMGJ,-101.2,20.57,GTO,Salamanca Gto.,8.0,16.95967742,25.91935484,17.8
166,TEMGJ,-101.3,20.6,GTO,Temascatío Gto.,9.370967742000001,17.82258065,26.27419355,2.51
167,CRMGJ,-101.67,20.62,GTO,Cuerámaro Gto.,9.64516129,18.12903226,26.61290323,0.0
168,LADGJ,-101.84,20.68,GTO,Las Adjuntas Gto.,4.516129032,14.38709677,24.25806452,1.52
169,IRPGJ,-101.35,20.68,GTO,Irapuato Gto.,8.725806452,16.53225806,24.33870968,3.2
170,ECNGJ,-101.37,20.73,GTO,El Conejo Gto.,5.435483871000001,15.36290323,25.29032258,4.3
171,IALGJ,-100.83,20.85,GTO,Ignacio Allende Gto.,6.112903226,15.42741935,24.74193548,0.01
172,PRSGJ,-101.29,20.87,GTO,La Purísima Gto.,8.290322581,16.64516129,25.0,0.0
173,CSRGJ,-100.9,20.95,GTO,Cinco Señores Gto.,3.419354839,13.74193548,24.06451613,0.01
174,GTOGJ,-101.26,21.01,GTO,Guanajuato Gto.,8.035483871,15.90967742,23.78387097,0.0
175,BRRGJ,-101.83,21.05,GTO,El Barrial Gto.,5.661290322999999,14.84677419,24.03225806,7.23
176,LENGJ,-101.67,21.1,GTO,León Gto.,10.11290323,17.79032258,25.46774194,1.01
177,DHGGJ,-100.93,21.15,GTO,Dolores Hidalgo Gto.,2.274193548,15.25806452,28.24193548,0.01
178,EPLGJ,-101.69,21.17,GTO,El Palote Gto.,7.838709677000001,16.08064516,24.32258065,3.0
179,CSTGJ,-101.67,21.2,GTO,Los Castillos Gto.,7.387096774,16.46774194,25.548387100000003,8.9
180,BARBOSA,-101.63,21.29,GTO,Barbosa Gto. Protección Civil*,6.135483871,13.77580645,21.41612903,6.08
181,XICGJ,-100.09,21.3,GTO,Xichú Gto.,8.483333333,17.30833333,26.13333333,1.7
182,SLPGJ,-100.52,21.3,GTO,San Luis de la Paz Gto.,2.225806452,12.16935484,22.11290323,0.0
183,PRQHD,-99.31,19.96,HGO,Requena Hgo.,4.709677419,14.62096774,24.53225806,15.0
184,TLGHD,-98.37,20.08,HGO,Tulancingo Hgo.,6.283870968,14.44193548,22.6,3.0
185,PCOHD,-98.75,20.12,HGO,Observatorio de Pachuca Hgo.,5.174193548,13.54354839,21.91290323,4.5
186,ENDHD,-99.36,20.16,HGO,Endhó Hgo.,6.0,15.38709677,24.77419355,16.01
187,MXQHD,-99.22,20.24,HGO,Mixquiahuala Hgo.,5.741935484,14.58064516,23.41935484,11.5
188,ACTHD,-98.94,20.27,HGO,Actopan Hgo.,4.064516128999999,15.41935484,26.77419355,8.5
189,PRGHD,-99.33,20.36,HGO,Javier Rojo Gómez Hgo.,7.322580645,15.62903226,23.93548387,1.01
190,HCPHD,-99.65,20.37,HGO,Huichapan Hgo.,4.432258065,13.57096774,22.70967742,5.9
191,PVAHD,-99.38,20.44,HGO,Vicente Aguirre Hgo.,6.741935484,15.19354839,23.64516129,1.0
192,IXMHD,-99.22,20.48,HGO,Ixmiquilpan Hgo.,7.806451612999999,15.66129032,23.51612903,0.3
193,ZXTHD,-98.65,20.65,HGO,Zacualtipán Hgo.,6.266666667000001,13.7,21.13333333,21.0
194,ZMPHD,-99.5,20.66,HGO,Ing. Fernando Hiriart Balderrama Hgo.,11.78333333,18.26333333,24.74333333,1.9
195,BBAJL,-104.06,19.91,JAL,Basilio Vadillo Jal.,11.70967742,22.25806452,32.80645161,0.0
196,CPEJL,-105.13,20.0,JAL,Cajón de Peña Jal.,20.80645161,25.48387097,30.16129032,0.0
197,LDCJL,-103.2,20.29,JAL,Lago de Chapala Jal.,13.0,18.0,23.0,7.12
198,JMYJL,-102.71,20.29,JAL,Jamay Jal.,5.7354838710000005,14.51290323,23.29032258,5.82
199,CULJL,-105.05,20.58,JAL,Cuale Jal.,16.77419355,23.18548387,29.59677419,0.91
200,TLAJL,-103.32,20.58,JAL,Tlaquepaque Jal.,10.67741935,18.72580645,26.77419355,11.83
201,GUAJL,-103.37,20.67,JAL,Guadalajara Centro Jal.,10.72580645,17.57258065,24.41935484,10.63
