,Estado,Lon,Lat,Clave,Est,Tmin
228,GTO,-101.74,20.44,GLNGJ,La Golondrina Gto.,9.838709677
229,GTO,-100.62,20.45,APSGJ,Apaseo el Alto Gto.,8.451612903
230,GTO,-100.95,20.48,CRTGJ,Cortázar Gto.,7.387096774
231,GTO,-101.63,20.5,ATBGJ,Agua Tibia Gto.,5.258064516
232,GTO,-101.13,20.52,PERGJ,Pericos Gto.,6.483870968
233,GTO,-100.82,20.53,CLYGJ,Celaya Gto.,7.709677419
234,GTO,-100.68,20.53,AEGGJ,Apaseo el Grande Gto.,7.935483871000001
235,GTO,-100.58,20.55,AMCGJ,Ameche Gto.,6.0
236,GTO,-101.2,20.57,SLMGJ,Salamanca Gto.,8.0
237,GTO,-101.3,20.6,TEMGJ,Temascatío Gto.,9.370967742000001
238,GTO,-101.67,20.62,CRMGJ,Cuerámaro Gto.,9.64516129
239,GTO,-101.84,20.68,LADGJ,Las Adjuntas Gto.,4.516129032
240,GTO,-101.35,20.68,IRPGJ,Irapuato Gto.,8.725806452
241,GTO,-101.37,20.73,ECNGJ,El Conejo Gto.,5.435483871000001
242,GTO,-100.83,20.85,IALGJ,Ignacio Allende Gto.,6.112903226
243,GTO,-101.29,20.87,PRSGJ,La Purísima Gto.,8.290322581
244,GTO,-100.9,20.95,CSRGJ,Cinco Señores Gto.,3.419354839
245,GTO,-101.26,21.01,GTOGJ,Guanajuato Gto.,8.035483871
246,GTO,-101.83,21.05,BRRGJ,El Barrial Gto.,5.661290322999999
247,GTO,-101.67,21.1,LENGJ,León Gto.,10.11290323
248,GTO,-100.93,21.15,DHGGJ,Dolores Hidalgo Gto.,2.274193548
249,GTO,-101.69,21.17,EPLGJ,El Palote Gto.,7.838709677000001
250,GTO,-101.67,21.2,CSTGJ,Los Castillos Gto.,7.387096774
251,GTO,-101.63,21.29,BARBOSA,Barbosa Gto. Protección Civil*,6.135483871
252,GTO,-100.09,21.3,XICGJ,Xichú Gto.,8.483333333
253,GTO,-100.52,21.3,SLPGJ,San Luis de la Paz Gto.,2.225806452
254,GTO,-101.52,21.63,OCMGJ,Ocampo Gto.,4.48
255,HGO,-99.31,19.96,PRQHD,Requena Hgo.,4.709677419
256,HGO,-98.37,20.08,TLGHD,Tulancingo Hgo.,6.283870968
257,HGO,-98.75,20.12,PCOHD,Observatorio de Pachuca Hgo.,5.174193548
258,HGO,-99.36,20.16,ENDHD,Endhó Hgo.,6.0
259,HGO,-99.22,20.24,MXQHD,Mixquiahuala Hgo.,5.741935484
260,HGO,-98.94,20.27,ACTHD,Actopan Hgo.,4.064516128999999
261,HGO,-99.33,20.36,PRGHD,Javier Rojo Gómez Hgo.,7.322580645
262,HGO,-99.65,20.37,HCPHD,Huichapan Hgo.,4.432258065
263,HGO,-99.38,20.44,PVAHD,Vicente Aguirre Hgo.,6.741935484
264,HGO,-99.22,20.48,IXMHD,Ixmiquilpan Hgo.,7.806451612999999
265,HGO,-98.76,20.59,LMTHD,Metztitlán Hgo.,14.90322581
266,HGO,-98.65,20.65,ZXTHD,Zacualtipán Hgo.,6.266666667000001
267,HGO,-99.5,20.66,ZMPHD,Ing. Fernando Hiriart Balderrama Hgo.,11.78333333
268,JAL,-104.06,19.91,BBAJL,Basilio Vadillo Jal.,11.70967742
269,JAL,-105.13,20.0,CPEJL,Cajón de Peña Jal.,20.80645161
270,JAL,-103.2,20.29,LDCJL,Lago de Chapala Jal.,13.0
271,JAL,-102.71,20.29,JMYJL,Jamay Jal.,5.7354838710000005
272,JAL,-102.5,20.55,ATOTONILCOCFE,Atotonilco Jal. CFE*,7.067741935
273,JAL,-105.05,20.58,CULJL,Cuale Jal.,16.77419355
274,JAL,-103.32,20.58,TLAJL,Tlaquepaque Jal.,10.67741935
275,JAL,-103.37,20.67,GUAJL,Guadalajara Centro Jal.,10.72580645
276,MEX,-100.28,19.1,TROMX,Trojes Méx.,2.5
